Category,Product Name,Price,Image URL
Vegetables,Green Cucumber,Rs 460.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914018.jpg
Vegetables,Green Hills Chopped Mukunuwanna 150g,Rs 160.00 / Unit,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
Vegetables,Green Hills Gotukola 100g,Rs 160.00 / Unit,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
Vegetables,Green Hills Gotukola 100g,Rs 160.00 / Unit,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
Vegetables,Green Hills Kankun 150g,Rs 160.00 / Unit,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
Vegetables,Green House Tomatoes,"Rs 1,110.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913040.jpg
Vegetables,Honest Green Frilly Iceberg 225g,Rs 785.00 / Unit,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914066.jpg
Vegetables,Honest Green Green Oak Lettuce 225g,Rs 785.00 / Unit,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914067.jpg
Vegetables,Jagro Bell Pepper Assorted,"Rs 6,270.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913072.jpg
Vegetables,Jagro Corriander (25G),Rs 200.00 / Unit,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
Vegetables,Jagro Fresh Mint (25G),Rs 200.00 / Unit,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic913164.jpg
Vegetables,Jagro Fresh Tyme 15g,Rs 200.00 / Unit,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
Vegetables,Japanese Leeks,Rs 680.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic915009.jpg
Vegetables,Kankun,Rs 79.00 / Unit,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic916018.jpg
Vegetables,Kekiri,Rs 110.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914021.jpg
Vegetables,Kiriala,Rs 840.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic914023.jpg
Vegetables,Knol Khol,Rs 380.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic915010.jpg
Fruits,Al-Madina Almond Dates 270g,Rs 935.00 / Unit,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923120.jpg
Fruits,Al-Madina Cashew Dates 270g,Rs 977.00 / Unit,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923119.jpg
Fruits,Al-Madina Seedless Dates 500g,Rs 935.00 / Unit,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923118.jpg
Fruits,Apple - Fuji,"Rs 2,850.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic924000.jpg
Fruits,Apple - Green,"Rs 1,800.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic924001.jpg
Fruits,Apple - Red,"Rs 2,310.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic924007.jpg
Fruits,Avocado,Rs 990.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923002.jpg
Fruits,Banana - Seeni,Rs 120.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923010.jpg
Fruits,Beli,Rs 410.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923011.jpg
Fruits,Berry Much Fresh Blackberry 125g,"Rs 1,650.00 / Unit",https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
Fruits,Berry Much Fresh Strawberry 125g,Rs 800.00 / Unit,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
Fruits,Berry Much Fresh Strawberry 250g,"Rs 1,450.00 / Unit",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923068.jpg
Fruits,Dole Cavendish Sixes Pack,Rs 860.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923017.jpg
Fruits,Grapes - Black,"Rs 2,990.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic924017.jpg
Fruits,Grapes - Red,"Rs 2,990.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic924019.jpg
Fruits,Guava,Rs 390.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923028.jpg
Fruits,Jambola,Rs 230.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923034.jpg
Fruits,Khalas Premium Dates 250g,Rs 585.00 / Unit,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923115.jpg
Fruits,Khalas Premium Dates 500g,Rs 990.00 / Unit,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923116.jpg
Fruits,Kiwi Fruits,"Rs 3,210.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic924020.jpg
Fruits,Mandarin - (Honey) Small,"Rs 2,640.00 / KG",https://essstr.blob.core.windows.net/essimg/350x/Small/Pic924022.jpg
Fruits,Mandarin - Local (Jama Naran),Rs 920.00 / KG,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic923043.jpg
